Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
pluma.mo,"(filter nothing), «hidden« (filter «hidden« files), binary","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sk/LC_MESSAGES/pluma.mo","2023-12-30 16:04:26 CET","2024-07-31 19:38:35 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:35 CEST",96311,Allocated,Allocated,unknown,,,application/octet-stream,mo
caja.mo,"Toggle the display of «hidden« files in the current","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/en_CA/LC_MESSAGES/caja.mo","2023-12-27 14:44:09 CET","2024-07-31 19:31:47 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:31:46 CEST",66509,Allocated,Allocated,unknown,,,application/octet-stream,mo
legacy-widget.php,"important;
				visibility: «hidden« !important;
				z-index:","/img_debianFinalProject.E01/vol_vol2/var/www/html/wp-includes/blocks/legacy-widget.php","2024-05-23 21:39:28 CEST","2024-10-08 22:18:00 CEST","2024-10-08 22:49:46 CEST","2024-09-30 17:56:21 CEST",3997,Allocated,Allocated,unknown,,,text/x-php,php
gtk30-properties.mo,"last input character in «hidden« entriesHow the range should","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/en_CA/LC_MESSAGES/gtk30-properties.mo","2024-07-19 12:57:06 CEST","2024-09-30 16:28:20 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:28:18 CEST",123068,Allocated,Allocated,unknown,,,application/octet-stream,mo
index.docbook,"ing a note causes all «hidden« notes to be shown.</para>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/es_VE/mate-stickynotes-applet/index.docbook","2022-07-23 23:51:50 CEST","2024-07-31 19:36:54 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:36:50 CEST",22894,Allocated,Allocated,unknown,,,text/xml,docbook
index.docbook,"xml:lang=""en"">To show a «hidden« menubar:</term>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/el/mate-terminal/index.docbook","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",58741,Allocated,Allocated,unknown,,,text/xml,docbook
index.docbook,"xml:lang=""en"">To show a «hidden« menubar:</term>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/ne/mate-terminal/index.docbook","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",58856,Allocated,Allocated,unknown,,,text/xml,docbook
index.docbook,"<para lang=""en"">Include «hidden« and backup files in the","/img_debianFinalProject.E01/vol_vol2/usr/share/help/he/mate-search-tool/index.docbook","2023-12-30 11:48:33 CET","2024-07-31 19:38:08 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:06 CEST",24980,Allocated,Allocated,unknown,,,text/xml,docbook
gtk20-properties.mo,"last input character in «hidden« entriesHow the range should","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/en_CA/LC_MESSAGES/gtk20-properties.mo","2024-07-19 12:57:02 CEST","2024-09-30 16:29:20 CEST","2024-09-30 16:28:07 CEST","2024-09-30 16:29:17 CEST",135112,Allocated,Allocated,unknown,,,application/octet-stream,mo
SPEED,"2) Excessive heap usage «hidden« behind the string API","/img_debianFinalProject.E01/vol_vol2/usr/share/doc/vsftpd/SPEED","2008-02-02 02:30:39 CET","2024-10-08 22:09:00 CEST","2024-10-08 22:08:58 CEST","2024-10-08 22:08:59 CEST",1172,Allocated,Allocated,unknown,,,text/plain,
gtksourceview-4.mo,"the language should be «hidden« from the userWhether to","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/en_CA/LC_MESSAGES/gtksourceview-4.mo","2023-01-13 00:36:44 CET","2024-07-31 19:33:51 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:33:51 CEST",19953,Allocated,Allocated,unknown,,,application/octet-stream,mo
index.docbook,"bar can be displayed or «hidden« using the
          <","/img_debianFinalProject.E01/vol_vol2/usr/share/help/he/mate-system-log/index.docbook","2023-12-30 11:48:33 CET","2024-07-31 19:38:08 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:06 CEST",14042,Allocated,Allocated,unknown,,,text/xml,docbook
